min_num_neighbors,epsilon,num_clusters,score
12,0.7,16,0.122102841
13,0.7,13,0.144500664
14,0.7,12,0.126907118
15,0.7,10,0.143580018
16,0.7,7,0.161530048
17,0.7,6,0.162145402
18,0.7,5,0.157733095
19,0.7,4,0.162856565
20,0.7,5,0.133498537
21,0.7,5,0.144797716
12,0.8,22,0.089719954
13,0.8,17,0.173845581
14,0.8,14,0.279580706
15,0.8,10,0.313203099
16,0.8,9,0.293774082
17,0.8,7,0.310245849
18,0.8,6,0.366389568
19,0.8,6,0.532427329
20,0.8,6,0.535341323
21,0.8,7,0.526317076
12,0.9,23,0.057232047
13,0.9,21,0.079490802
14,0.9,18,0.143194416
15,0.9,16,0.157435148
16,0.9,15,0.155794851
17,0.9,14,0.164359056
18,0.9,13,0.314078721
19,0.9,12,0.323513285
20,0.9,14,0.258746866
21,0.9,9,0.566904127
12,1,25,0.131675959
13,1,20,0.14792202
14,1,17,0.168858707
15,1,17,0.150103842
16,1,16,0.194169433
17,1,15,0.169700784
18,1,14,0.179412487
19,1,13,0.231714339
20,1,10,0.29073983
21,1,9,0.294642269
12,1.1,27,-0.016113572
13,1.1,18,0.133639168
14,1.1,14,0.154716383
15,1.1,13,0.107818249
16,1.1,13,0.136859251
17,1.1,14,0.125945869
18,1.1,14,0.18092904
19,1.1,12,0.222232926
20,1.1,10,0.2382353
21,1.1,12,0.203175268
12,1.2,28,-0.172815988
13,1.2,21,-0.101131599
14,1.2,17,-0.029263618
15,1.2,16,-0.045159261
16,1.2,15,-0.049158236
17,1.2,13,0.269585952
18,1.2,11,0.280551862
19,1.2,10,0.319600041
20,1.2,9,0.412171361
21,1.2,7,0.431432657
12,1.3,29,-0.1384873
13,1.3,25,-0.132116887
14,1.3,18,-0.081395028
15,1.3,15,-0.023057712
16,1.3,15,-0.045105029
17,1.3,11,0.049111645
18,1.3,11,-0.016267038
19,1.3,10,-0.048972068
20,1.3,10,-0.073006317
21,1.3,10,0.047044522
12,1.4,18,-0.050792065
13,1.4,14,0.001465711
14,1.4,14,0.031603591
15,1.4,12,0.012044283
16,1.4,11,-0.010986172
17,1.4,10,0.032966258
18,1.4,9,0.067427569
19,1.4,9,0.129552202
20,1.4,10,0.008090336
21,1.4,9,0.03991755
22,0.7,4,0.163384026
23,0.7,9,0.120243475
24,0.7,9,0.113009452
25,0.7,8,0.144493567
22,0.8,8,0.230794162
23,0.8,6,0.231580976
24,0.8,6,0.212915193
25,0.8,5,0.221369975
22,0.9,9,0.572870501
23,0.9,9,0.568373183
24,0.9,9,0.580160687
25,0.9,8,0.572373292
22,1,7,0.432418009
23,1,9,0.288752174
24,1,9,0.279465097
25,1,9,0.285812641
22,1.1,13,0.200074968
23,1.1,15,0.178545869
24,1.1,14,0.150616372
25,1.1,10,0.297671748
22,1.2,7,0.43540645
23,1.2,7,0.440043494
24,1.2,8,0.351545421
25,1.2,9,0.322607808
22,1.3,10,0.046899303
23,1.3,8,0.113849692
24,1.3,8,0.073470777
25,1.3,7,0.145438008
22,1.4,9,0.046851917
23,1.4,10,0.285050502
24,1.4,10,-0.021705476
25,1.4,9,0.134401466